	S0	S1	S2	S3	label
0	1	0.51	0.36	0.13	-0.02
1	1	0.31	0.1	0.59	0.38
2	1	0.27	0.15	0.58	0.46
3	1	0.36	0.21	0.43	0.28
4	1	0.7	0.57	-0.27	-0.4
5	1	0.65	0.44	-0.09	-0.3
6	1	0.32	0.07	0.61	0.36
7	1	0.46	0.36	0.18	0.08
8	1	0.83	0.77	-0.6	-0.66
9	1	0.25	0.09	0.66	0.5
10	1	0.73	0.6	-0.33	-0.46
11	1	0.52	0.17	0.31	-0.04
12	1	0.49	0.44	0.07	0.02
13	1	0.07	0.04	0.89	0.86
14	1	0.73	0.67	-0.4	-0.46
15	1	0.01	0.0	0.99	0.98
16	1	0.81	0.58	-0.39	-0.62
17	1	0.6	0.4	0.0	-0.2
18	1	0.19	0.12	0.69	0.62
19	1	0.74	0.68	-0.42	-0.48
20	1	0.72	0.21	0.07	-0.44
21	1	0.96	0.91	-0.87	-0.92
22	1	0.61	0.18	0.21	-0.22
23	1	0.59	0.06	0.35	-0.18
24	1	0.14	0.08	0.78	0.72
25	1	0.75	0.44	-0.19	-0.5
26	1	0.38	0.38	0.24	0.24
27	1	0.48	0.01	0.51	0.04
28	1	0.67	0.31	0.02	-0.34
29	1	0.36	0.31	0.33	0.28
30	1	0.11	0.09	0.8	0.78
31	1	0.21	0.04	0.75	0.58
32	1	0.31	0.19	0.5	0.38
33	1	0.23	0.18	0.59	0.54
34	1	0.49	0.02	0.49	0.02
35	1	0.32	0.15	0.53	0.36
36	1	0.93	0.06	0.01	-0.86
37	1	0.28	0.19	0.53	0.44
38	1	0.05	0.01	0.94	0.9
39	1	0.28	0.1	0.62	0.44
40	1	0.47	0.31	0.22	0.06
41	1	0.46	0.43	0.11	0.08
42	1	0.47	0.27	0.26	0.06
43	1	0.53	0.43	0.04	-0.06
44	1	0.31	0.16	0.53	0.38
45	1	0.11	0.09	0.8	0.78
46	1	0.6	0.04	0.36	-0.2
47	1	0.37	0.16	0.47	0.26
48	1	0.97	0.06	-0.03	-0.94
49	1	0.46	0.11	0.43	0.08
50	1	0.78	0.23	-0.01	-0.56
51	1	0.33	0.18	0.49	0.34
52	1	0.54	0.34	0.12	-0.08
53	1	0.7	0.27	0.03	-0.4
54	1	0.77	0.37	-0.14	-0.54
55	1	0.22	0.16	0.62	0.56
56	1	0.28	0.01	0.71	0.44
57	1	0.1	0.06	0.84	0.8
58	1	0.52	0.31	0.17	-0.04
59	1	0.88	0.49	-0.37	-0.76
60	1	0.86	0.68	-0.54	-0.72
61	1	0.71	0.47	-0.18	-0.42
62	1	0.86	0.73	-0.59	-0.72
63	1	0.32	0.19	0.49	0.36
64	1	0.67	0.57	-0.24	-0.34
65	1	0.97	0.24	-0.21	-0.94
66	1	0.52	0.17	0.31	-0.04
67	1	0.65	0.29	0.06	-0.3
68	1	0.69	0.39	-0.08	-0.38
69	1	0.09	0.06	0.85	0.82
70	1	0.42	0.1	0.48	0.16
71	1	0.28	0.11	0.61	0.44
72	1	0.98	0.14	-0.12	-0.96
73	1	0.49	0.27	0.24	0.02
74	1	0.6	0.39	0.01	-0.2
75	1	0.09	0.04	0.87	0.82
76	1	0.69	0.42	-0.11	-0.38
77	1	0.28	0.17	0.55	0.44
78	1	0.95	0.61	-0.56	-0.9
79	1	0.67	0.55	-0.22	-0.34
80	1	0.14	0.1	0.76	0.72
81	1	0.87	0.27	-0.14	-0.74
82	1	0.16	0.1	0.74	0.68
83	1	0.51	0.37	0.12	-0.02
84	1	0.27	0.03	0.7	0.46
85	1	0.63	0.31	0.06	-0.26
86	1	0.64	0.6	-0.24	-0.28
87	1	0.25	0.2	0.55	0.5
88	1	0.76	0.45	-0.21	-0.52
89	1	0.22	0.18	0.6	0.56
90	1	0.94	0.93	-0.87	-0.88
91	1	0.46	0.23	0.31	0.08
92	1	0.6	0.2	0.2	-0.2
93	1	0.59	0.16	0.25	-0.18
94	1	0.39	0.26	0.35	0.22
95	1	0.97	0.19	-0.16	-0.94
96	1	0.59	0.39	0.02	-0.18
97	1	0.92	0.08	0.0	-0.84
98	1	0.6	0.29	0.11	-0.2
99	1	0.2	0.01	0.79	0.6
100	1	0.59	0.12	0.29	-0.18
101	1	0.38	0.31	0.31	0.24
102	1	0.8	0.75	-0.55	-0.6
103	1	0.6	0.01	0.39	-0.2
104	1	0.09	0.09	0.82	0.82
105	1	0.12	0.08	0.8	0.76
106	1	0.09	0.01	0.9	0.82
107	1	0.29	0.18	0.53	0.42
108	1	0.11	0.08	0.81	0.78
109	1	0.88	0.66	-0.54	-0.76
110	1	0.88	0.43	-0.31	-0.76
111	1	0.17	0.03	0.8	0.66
112	1	0.3	0.22	0.48	0.4
113	1	0.17	0.0	0.83	0.66
114	1	0.67	0.18	0.15	-0.34
115	1	0.29	0.15	0.56	0.42
116	1	0.35	0.25	0.4	0.3
117	1	0.59	0.16	0.25	-0.18
118	1	0.98	0.95	-0.93	-0.96
119	1	0.41	0.16	0.43	0.18
120	1	0.29	0.18	0.53	0.42
121	1	0.69	0.24	0.07	-0.38
122	1	0.88	0.4	-0.28	-0.76
123	1	0.61	0.2	0.19	-0.22
124	1	0.45	0.36	0.19	0.1
125	1	0.67	0.53	-0.2	-0.34
126	1	0.67	0.42	-0.09	-0.34
127	1	0.91	0.14	-0.05	-0.82
128	1	0.62	0.46	-0.08	-0.24
129	1	0.04	0.01	0.95	0.92
130	1	0.51	0.32	0.17	-0.02
131	1	1.0	0.58	-0.58	-1.0
132	1	0.71	0.1	0.19	-0.42
133	1	0.85	0.36	-0.21	-0.7
134	1	0.56	0.21	0.23	-0.12
135	1	0.59	0.26	0.15	-0.18
136	1	0.66	0.51	-0.17	-0.32
137	1	0.04	0.02	0.94	0.92
138	1	0.18	0.13	0.69	0.64
139	1	0.15	0.02	0.83	0.7
140	1	0.07	0.06	0.87	0.86
141	1	0.27	0.19	0.54	0.46
142	1	0.15	0.09	0.76	0.7
143	1	0.69	0.52	-0.21	-0.38
144	1	0.06	0.05	0.89	0.88
145	1	0.17	0.1	0.73	0.66
146	1	0.17	0.08	0.75	0.66
147	1	0.52	0.48	0.0	-0.04
148	1	0.86	0.7	-0.56	-0.72
149	1	0.68	0.3	0.02	-0.36
150	1	0.42	0.1	0.48	0.16
151	1	0.85	0.13	0.02	-0.7
152	1	0.99	0.34	-0.33	-0.98
153	1	0.23	0.03	0.74	0.54
154	1	0.86	0.24	-0.1	-0.72
155	1	0.74	0.19	0.07	-0.48
156	1	0.49	0.19	0.32	0.02
157	1	0.6	0.32	0.08	-0.2
158	1	0.73	0.72	-0.45	-0.46
159	1	0.73	0.28	-0.01	-0.46
160	1	0.06	0.05	0.89	0.88
161	1	0.09	0.09	0.82	0.82
162	1	0.44	0.05	0.51	0.12
163	1	0.58	0.15	0.27	-0.16
164	1	0.43	0.04	0.53	0.14
165	1	0.47	0.28	0.25	0.06
166	1	0.7	0.19	0.11	-0.4
167	1	0.33	0.14	0.53	0.34
168	1	0.62	0.53	-0.15	-0.24
169	1	0.37	0.34	0.29	0.26
170	1	0.04	0.01	0.95	0.92
171	1	0.44	0.17	0.39	0.12
172	1	0.22	0.03	0.75	0.56
173	1	0.28	0.24	0.48	0.44
174	1	0.65	0.12	0.23	-0.3
175	1	0.12	0.02	0.86	0.76
176	1	0.42	0.41	0.17	0.16
177	1	0.82	0.41	-0.23	-0.64
178	1	0.83	0.74	-0.57	-0.66
179	1	0.53	0.5	-0.03	-0.06
180	1	0.79	0.55	-0.34	-0.58
181	1	0.65	0.15	0.2	-0.3
182	1	0.93	0.32	-0.25	-0.86
183	1	0.46	0.26	0.28	0.08
184	1	0.41	0.37	0.22	0.18
185	1	0.34	0.24	0.42	0.32
186	1	0.51	0.1	0.39	-0.02
187	1	0.47	0.2	0.33	0.06
188	1	0.19	0.07	0.74	0.62
189	1	0.45	0.15	0.4	0.1
190	1	0.87	0.4	-0.27	-0.74
191	1	0.79	0.48	-0.27	-0.58
192	1	0.92	0.23	-0.15	-0.84
193	1	0.5	0.35	0.15	0.0
194	1	0.39	0.35	0.26	0.22
195	1	0.93	0.64	-0.57	-0.86
196	1	0.98	0.62	-0.6	-0.96
197	1	0.72	0.15	0.13	-0.44
198	1	0.07	0.04	0.89	0.86
199	1	0.07	0.05	0.88	0.86
200	1	0.17	0.05	0.78	0.66
201	1	0.67	0.0	0.33	-0.34
202	1	0.87	0.5	-0.37	-0.74
203	1	0.27	0.27	0.46	0.46
204	1	0.84	0.16	0.0	-0.68
205	1	0.28	0.06	0.66	0.44
206	1	0.04	0.01	0.95	0.92
207	1	0.38	0.28	0.34	0.24
208	1	0.44	0.01	0.55	0.12
209	1	0.05	0.03	0.92	0.9
210	1	0.21	0.1	0.69	0.58
211	1	0.84	0.56	-0.4	-0.68
212	1	0.12	0.0	0.88	0.76
213	1	0.58	0.17	0.25	-0.16
214	1	0.69	0.17	0.14	-0.38
215	1	0.88	0.67	-0.55	-0.76
216	1	0.85	0.22	-0.07	-0.7
217	1	0.94	0.67	-0.61	-0.88
218	1	0.55	0.5	-0.05	-0.1
219	1	0.87	0.6	-0.47	-0.74
220	1	0.74	0.31	-0.05	-0.48
221	1	0.01	0.0	0.99	0.98
222	1	0.93	0.31	-0.24	-0.86
223	1	0.17	0.09	0.74	0.66
224	1	0.21	0.03	0.76	0.58
225	1	0.27	0.13	0.6	0.46
226	1	0.15	0.0	0.85	0.7
227	1	0.56	0.11	0.33	-0.12
228	1	0.77	0.52	-0.29	-0.54
229	1	0.96	0.04	0.0	-0.92
